Date : 2025-04-20 17:10:41
Directory : c:\Users\idoba\flowscape
Total : 74 files,  2722 codes, 275 comments, 478 blanks, all 3475 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\idoba\flowscape\linux\runner\my_application.h                                 | C++        |          7 |          7 |          5 |         19 |
| c:\Users\idoba\flowscape\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |          4 |          3 |          4 |         11 |
| c:\Users\idoba\flowscape\macos\RunnerTests\RunnerTests.swift                           | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\idoba\flowscape\macos\Runner\AppDelegate.swift                                | Swift      |         11 |          0 |          3 |         14 |
| c:\Users\idoba\flowscape\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |         68 |          0 |          1 |         69 |
| c:\Users\idoba\flowscape\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| c:\Users\idoba\flowscape\macos\Runner\MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| c:\Users\idoba\flowscape\pubspec.yaml                                                  | YAML       |         23 |         16 |          9 |         48 |
| c:\Users\idoba\flowscape\test\widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| c:\Users\idoba\flowscape\web\index.html                                                | HTML       |         19 |         15 |          5 |         39 |
| c:\Users\idoba\flowscape\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\idoba\flowscape\windows\CMakeLists.txt                                        | CMake      |         89 |          0 |         20 |        109 |
| c:\Users\idoba\flowscape\windows\flutter\CMakeLists.txt                                | CMake      |         98 |          0 |         12 |        110 |
| c:\Users\idoba\flowscape\windows\flutter\generated_plugin_registrant.cc                | C++        |          3 |          4 |          5 |         12 |
| c:\Users\idoba\flowscape\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| c:\Users\idoba\flowscape\windows\flutter\generated_plugins.cmake                       | CMake      |         18 |          0 |          6 |         24 |
| c:\Users\idoba\flowscape\windows\runner\CMakeLists.txt                                 | CMake      |         34 |          0 |          7 |         41 |
| c:\Users\idoba\flowscape\windows\runner\flutter_window.cpp                             | C++        |         49 |          7 |         16 |         72 |
| c:\Users\idoba\flowscape\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| c:\Users\idoba\flowscape\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| c:\Users\idoba\flowscape\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| c:\Users\idoba\flowscape\windows\runner\utils.cpp                                      | C++        |         54 |          2 |         10 |         66 |
| c:\Users\idoba\flowscape\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| c:\Users\idoba\flowscape\windows\runner\win32_window.cpp                               | C++        |        210 |         24 |         55 |        289 |
| c:\Users\idoba\flowscape\windows\runner\win32_window.h                                 | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                  |            |      2,722 |        275 |        478 |      3,475 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
